#OpenPeripheral user-friendly names
#class_name	user_name
net.minecraft.block.BlockJukebox$TileEntityJukebox	toca_discos
net.minecraft.tileentity.TileEntityBeacon	sinalizador
net.minecraft.tileentity.TileEntityBrewingStand	estande_de_poções
net.minecraft.tileentity.TileEntityChest	baú
net.minecraft.tileentity.TileEntityComparator	comparador
net.minecraft.tileentity.TileEntityDaylightDetector	detector_de_luz_solar
net.minecraft.tileentity.TileEntityDispenser	ejetor
net.minecraft.tileentity.TileEntityDropper	liberador
net.minecraft.tileentity.TileEntityEnchantmentTable	mesa_de_encantamentos
net.minecraft.tileentity.TileEntityEnderChest	baú_do_fim
net.minecraft.tileentity.TileEntityFlowerPot	vaso_de_flores
net.minecraft.tileentity.TileEntityFurnace	fornalha
net.minecraft.tileentity.TileEntityHopper	funil
net.minecraft.tileentity.TileEntityNote	bloco_de_notas
net.minecraft.tileentity.TileEntitySign	placa
net.minecraft.tileentity.TileEntitySkull	crânio
